Color Name,Brand,tier,has_color_word,word_count,char_length,avg_word_rarity,has_place_word
Wood ash,Little Greene,Luxury,False,2,8,3.74e-05,False
Aquamarine - light,Little Greene,Luxury,False,3,18,7.144133333333333e-05,False
Aquamarine - mid,Little Greene,Luxury,False,3,16,2.2141333333333334e-05,False
Aquamarine,Little Greene,Luxury,False,1,10,3.24e-07,False
Arquerite,Little Greene,Luxury,False,1,9,0.0,False
Attic II,Little Greene,Luxury,False,2,8,5.4635e-05,False
Baluster,Little Greene,Luxury,False,1,8,4.37e-08,False
Black jack,Little Greene,Luxury,True,2,10,0.00017705,False
Bone china blue deep,Little Greene,Luxury,True,4,20,0.00010062499999999999,True
Celestial blue,Little Greene,Luxury,True,2,14,6.9195e-05,False
Dark lead colour,Little Greene,Luxury,False,3,16,9.963333333333333e-05,False
Dash of soot,Little Greene,Luxury,False,3,12,0.00837035,False
Dolphin,Little Greene,Luxury,False,1,7,4.68e-06,False
Dorchester pink - deep,Little Greene,Luxury,True,4,22,3.65625e-05,False
Dorchester pink,Little Greene,Luxury,True,2,15,1.7125e-05,False
Drizzle,Little Greene,Luxury,False,1,7,1.41e-06,False
Fescue,Little Greene,Luxury,False,1,6,1.48e-07,False
Gauze dark,Little Greene,Luxury,False,2,10,5.5388e-05,False
Gauze deep,Little Greene,Luxury,False,2,10,5.6387999999999996e-05,False
Green stone - light,Little Greene,Luxury,True,4,19,0.000103025,False
Green stone - pale,Little Greene,Luxury,True,4,18,5.2525e-05,False
Green stone,Little Greene,Luxury,True,2,11,9.905e-05,False
Grey moss,Little Greene,Luxury,True,2,9,1.8979999999999998e-05,False
Grey teal,Little Greene,Luxury,True,2,9,1.599e-05,False
Hortense,Little Greene,Luxury,False,1,8,3.16e-07,False
Inox,Little Greene,Luxury,False,1,4,6.31e-08,False
Juniper ash,Little Greene,Luxury,False,2,11,7.955000000000001e-06,False
Knightsbridge,Little Greene,Luxury,False,1,13,3.31e-07,False
Lead colour,Little Greene,Luxury,False,2,11,9.444999999999999e-05,False
Livid,Little Greene,Luxury,False,1,5,9.77e-07,False
Mid lead colour,Little Greene,Luxury,False,3,15,8.499999999999999e-05,False
Milk thistle,Little Greene,Luxury,False,2,12,2.372e-05,False
Mirage II,Little Greene,Luxury,False,2,9,5.3475e-05,False
Mono,Little Greene,Luxury,False,1,4,3.39e-06,False
North brink grey,Little Greene,Luxury,True,3,16,8.414666666666666e-05,False
Obsidian,Little Greene,Luxury,False,1,8,8.91e-07,False
Pearl colour dark,Little Greene,Luxury,False,3,17,5.156666666666666e-05,False
Perennial grey,Little Greene,Luxury,True,2,14,1.672e-05,False
Pompeian ash,Little Greene,Luxury,False,2,12,7.28155e-06,False
Portland stone - light,Little Greene,Luxury,False,4,22,7.305e-05,False
Portland stone dark,Little Greene,Luxury,False,3,19,6.273333333333333e-05,False
Portland stone deep,Little Greene,Luxury,False,3,19,6.34e-05,False
Portland stone,Little Greene,Luxury,False,2,14,3.91e-05,False
Putti,Little Greene,Luxury,False,1,5,7.94e-08,False
Rolling fog dark,Little Greene,Luxury,False,3,16,4.914666666666667e-05,False
Rolling fog,Little Greene,Luxury,False,2,11,1.872e-05,False
Rolling fog mid,Little Greene,Luxury,False,3,15,3.451333333333333e-05,False
Rolling fog pale,Little Greene,Luxury,False,3,16,1.648e-05,False
Rubine ashes,Little Greene,Luxury,False,2,12,4.255e-06,False
Salix,Little Greene,Luxury,False,1,5,2.19e-07,False
Scree,Little Greene,Luxury,False,1,5,2.04e-07,False
Stone-dark-cool,Little Greene,Luxury,False,1,15,3.12e-05,False
Stone-dark-warm,Little Greene,Luxury,False,1,15,2.25e-05,False
Urgane grey,Little Greene,Luxury,True,2,11,1.51e-05,False
Welcome dark,Little Greene,Luxury,False,2,12,0.00010385,False
Welcome deep,Little Greene,Luxury,False,2,12,0.00010485,False
50s magnolia,Little Greene,Luxury,False,2,12,1.0735e-06,False
Acorn,Little Greene,Luxury,False,1,5,1.2e-06,False
Bath stone,Little Greene,Luxury,False,2,10,4.53e-05,False
Batsman,Little Greene,Luxury,False,1,7,2.51e-06,False
Beauvais lilac,Little Greene,Luxury,True,2,14,7.225e-07,False
Button,Little Greene,Luxury,False,1,6,3.63e-05,False
Castell Pink,Little Greene,Luxury,True,2,12,1.6669999999999998e-05,False
Ceviche,Little Greene,Luxury,False,1,7,2.88e-07,False
China clay dark,Little Greene,Luxury,False,3,15,8.516666666666666e-05,True
China clay deep,Little Greene,Luxury,False,3,15,8.583333333333334e-05,True
China clay,Little Greene,Luxury,False,2,10,7.275e-05,True
China clay mid,Little Greene,Luxury,False,3,14,7.053333333333333e-05,True
Clay deep,Little Greene,Luxury,False,2,9,6.575e-05,False
Clay,Little Greene,Luxury,False,1,4,1.95e-05,False
Clay mid,Little Greene,Luxury,False,2,8,4.28e-05,False
Clay pale,Little Greene,Luxury,False,2,9,1.575e-05,False
Clockface,Little Greene,Luxury,False,1,9,0.0,False
Cool arbour,Little Greene,Luxury,False,2,11,7.058900000000001e-05,False
Cream colour,Little Greene,Luxury,True,2,12,3.63e-05,False
Creamerie,Little Greene,Luxury,False,1,9,0.0,False
Custard,Little Greene,Luxury,False,1,7,1.48e-06,False
Dawn,Little Greene,Luxury,False,1,4,1.86e-05,False
Ferdinand,Little Greene,Luxury,False,1,9,3.39e-06,False
First light,Little Greene,Luxury,False,2,11,0.000752,False
Flint,Little Greene,Luxury,False,1,5,5.89e-06,False
French grey dark,Little Greene,Luxury,True,3,16,8.773333333333333e-05,True
French grey,Little Greene,Luxury,True,2,11,7.66e-05,True
French grey mid,Little Greene,Luxury,True,3,15,7.31e-05,True
French grey pale,Little Greene,Luxury,True,3,16,5.5066666666666666e-05,True
French stone,Little Greene,Luxury,False,2,12,9.305000000000001e-05,True
Hammock,Little Greene,Luxury,False,1,7,1.38e-06,False
Hollyhock,Little Greene,Luxury,False,1,9,7.94e-08,False
Indian sand,Little Greene,Luxury,False,2,11,5.44e-05,True
Inner shell II,Little Greene,Luxury,False,3,14,5.3700000000000004e-05,False
Ivory,Little Greene,Luxury,True,1,5,7.08e-06,False
Joanna,Little Greene,Luxury,False,1,6,3.31e-06,False
Lead white,Little Greene,Luxury,True,2,10,0.000241,False
Light Beauvais,Little Greene,Luxury,False,2,14,0.0001070775,False
Limestone,Little Greene,Luxury,False,1,9,5.62e-06,False
Linnet,Little Greene,Luxury,False,1,6,1.32e-07,False
